id,question,image_full,image_zoom,answer,choices
23,この県はどこ？,23_愛知県_full.png,23_愛知県_zoom.png,愛知県,"山口県,愛知県,青森県,鳥取県"
15,この県はどこ？,15_新潟県_full.png,15_新潟県_zoom.png,新潟県,"広島県,新潟県,高知県,富山県"
13,この県はどこ？,13_東京都_full.png,13_東京都_zoom.png,東京都,"福岡県,東京都,奈良県,岐阜県"
9,この県はどこ？,09_栃木県_full.png,09_栃木県_zoom.png,栃木県,"神奈川県,栃木県,群馬県,埼玉県"
47,この県はどこ？,47_沖縄県_full.png,47_沖縄県_zoom.png,沖縄県,"茨城県,沖縄県,高知県,石川県"
25,この県はどこ？,25_滋賀県_full.png,25_滋賀県_zoom.png,滋賀県,"鳥取県,三重県,滋賀県,茨城県"
43,この県はどこ？,43_熊本県_full.png,43_熊本県_zoom.png,熊本県,"熊本県,山口県,兵庫県,石川県"
17,この県はどこ？,17_石川県_full.png,17_石川県_zoom.png,石川県,"山形県,奈良県,石川県,北海道"
14,この県はどこ？,14_神奈川県_full.png,14_神奈川県_zoom.png,神奈川県,"高知県,神奈川県,大阪府,鹿児島県"
18,この県はどこ？,18_福井県_full.png,18_福井県_zoom.png,福井県,"香川県,福井県,岡山県,福島県"
40,この県はどこ？,40_福岡県_full.png,40_福岡県_zoom.png,福岡県,"福岡県,徳島県,愛媛県,山形県"
7,この県はどこ？,07_福島県_full.png,07_福島県_zoom.png,福島県,"愛媛県,神奈川県,広島県,福島県"
5,この県はどこ？,05_秋田県_full.png,05_秋田県_zoom.png,秋田県,"山形県,山梨県,宮城県,秋田県"
10,この県はどこ？,10_群馬県_full.png,10_群馬県_zoom.png,群馬県,"群馬県,愛媛県,佐賀県,青森県"
8,この県はどこ？,08_茨城県_full.png,08_茨城県_zoom.png,茨城県,"静岡県,茨城県,徳島県,長崎県"
42,この県はどこ？,42_長崎県_full.png,42_長崎県_zoom.png,長崎県,"島根県,長崎県,静岡県,神奈川県"
20,この県はどこ？,20_長野県_full.png,20_長野県_zoom.png,長野県,"愛媛県,福岡県,長野県,島根県"
2,この県はどこ？,02_青森県_full.png,02_青森県_zoom.png,青森県,"広島県,群馬県,山梨県,青森県"
22,この県はどこ？,22_静岡県_full.png,22_静岡県_zoom.png,静岡県,"熊本県,愛知県,静岡県,三重県"
37,この県はどこ？,37_香川県_full.png,37_香川県_zoom.png,香川県,"香川県,滋賀県,広島県,愛媛県"
39,この県はどこ？,39_高知県_full.png,39_高知県_zoom.png,高知県,"福島県,高知県,山口県,大分県"
31,この県はどこ？,31_鳥取県_full.png,31_鳥取県_zoom.png,鳥取県,"鳥取県,神奈川県,奈良県,富山県"
46,この県はどこ？,46_鹿児島県_full.png,46_鹿児島県_zoom.png,鹿児島県,"静岡県,宮崎県,石川県,鹿児島県"
